"","Colour_code","Condition","Week","Fm_ID","Combo_lek_week","Combo_lek","Session_nr","Female_max_id","Total_visit_duration_all_females","Total_visit_nr_all_females","Visits_longest_s","Visit_occurrence","Total_nr_display","Combo_display_rank","Combo_co_disp_rank","Co_disp_score","Interrupted_copulations_nr_OtherR","Interrupted_copulations_nr_OtherS","Interrupted_copulations_nr_PartnerR","Interrupted_copulations_nr_PartnerS","Successful_copulations_nr","Interrupted_total","Mount_nr","Crouching_nr","Copulation_attempt","Copulation_nr","Total_successful_copulations","Co.display_total_nr_session","Co.display_total_duration_s_session","Co.display_total_duration_s_session2","Single_display_total_duration_s_session","Single_display_to_satellite_total_nr_session","Single_display_to_both_total_nr_session","Single_display_to_both_total_duration_s_session","Paired_state_total_nr_session","Paired_state_total_duration_s_session","Co_displ_occurrence","Copulation_occurrence_successful","Copulation_occurrence","Co_disp_session","Single_display_duration_mean_s_session","Single_display_duration_std_dev_session","Chasings_total","Chasings_res","Chasings_sat","Chasings_marg","Attacks_total","Attacks_res","Attacks_sat","Attacks_marg","Approaches","Fight_dur_s","Aggression_res_total","Aggression_sat_total","Aggression_total","Aggression_res_attack_approach","Aggression_attack_approach_total","Combo_lek_repeat"
"1","GLb|GY","Marginal","7","Fm2","1_Lek3_7","1_Lek3",3,3,296,14,72.3,3,18,1,1,0,0,0,0,0,9,0,0,13,9,9,9,0,0,4670,4921,0,0,0,0,0,0,3,3,0,61.4,69.37,22,9,0,13,1,0,0,1,21,92.641,30,0,44,21,22,1
"2","GLb|GY","Satellite","7","Fm2","1_Lek3_7","1_Lek3",3,5,1609.462,21,611.3,3,18,1,1,8,0,0,0,1,4,1,3,52,8,5,4,174,4670,4670,559,0,0,0,3,5387.116,3,3,3,3,32.47,59.42,42,42,0,0,2,2,0,0,5,20.859,49,0,49,7,7,1
"3","GLb|GY","Satellite","8","Fm2","1_Lek3_8","1_Lek3",3,5,1404.036,17,546,3,18,1,1,8,0,0,0,0,0,0,1,21,1,0,0,163,4630,4630,483,0,1,5.999,3,5392.334,3,0,0,3,34.88,24.58,18,18,0,0,1,0,1,0,0,0,18,1,19,0,1,2
"4","GLb|GY","Marginal","8","Fm2","1_Lek3_8","1_Lek3",3,5,596.917,13,273.6,3,15,1,1,0,0,0,0,0,10,0,17,45,27,10,10,0,0,4630,5084,0,0,0,0,0,0,2,2,0,86.54,89.37,37,20,0,17,1,1,0,0,3,6.945,24,0,41,4,4,2
"5","DbLb|LbY","Satellite","8","Fm1","1_Lek1_8","1_Lek1",3,3,1309.908,9,821.4,3,18,1,1,8,0,0,1,7,0,8,1,28,9,8,0,192,4561,4561,529,1,0,0,3,5397.686,3,0,2,3,32.215,22.98,55,55,0,0,3,3,0,0,0,0,58,0,58,3,3,2
"6","DbLb|LbY","Marginal","8","Fm1","1_Lek1_8","1_Lek1",3,4,881.576,25,421.5,3,17,1,1,0,1,0,0,0,26,1,7,61,34,27,26,0,0,4561,5008,0,0,0,0,0,0,3,3,0,58.67,53.88,86,78,0,8,2,2,0,0,3,5.84,83,0,91,5,5,2
"7","YO|OLB","Marginal","5","Fm2","3_Lek4_5","3_Lek4",3,10,2242.699,70,434.7,3,18,1,1,0,0,0,0,0,9,0,7,31,16,9,9,0,0,4024,5069,1,0,0,0,0,0,2,2,0,51.225,47.2,85,85,0,0,6,6,0,0,10,28.2,101,0,101,16,16,2
"8","YO|OLB","Satellite","5","Fm2","3_Lek4_5","3_Lek4",3,11,4789.758,76,1348.3,3,18,1,1,7,0,0,0,5,6,5,10,81,21,11,6,217,4024,4024,1074,1,0,0,4,5297.738,3,3,3,3,67.525,29.245,48,48,0,0,3,3,0,0,10,26.758,61,0,61,13,13,2
"9","YO|OLB","Marginal","3","Fm2","3_Lek4_3","3_Lek4",3,0,0,0,0,0,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3485,3370,0,0,0,0,0,0,0,0,0,55.71,56.24,78,70,0,8,4,4,0,0,8,44.48,82,0,90,12,12,1
"10","YO|OLB","Satellite","3","Fm2","3_Lek4_3","3_Lek4",3,2,232.443,9,132.2,2,17,1,1,6,0,0,0,1,1,1,0,2,2,2,1,214,3485,3485,1357,11,0,0,19,4499.243,3,1,2,3,53.6675,42.5075,72,71,1,0,4,4,0,0,1,1.12,76,1,77,5,5,1
