"","X","Session_ID","Video_ID","Colour_code","State","Condition","Bird_desc","Sat_ID","Fm_ID","Time","Date","Date2","Week","Combo_lek_week","Combo_lek","Female_max_id","Total_visit_nr_all_females","Visit_occurrence","Total_visit_duration_all_females","Total_nr_display","Total_nr_display_with_Sat","Total_nr_display_Res_ind","Total_nr_display_Sat_ind","Display_percentage","Female_cop_max_id","Interrupted_copulations_nr_OtherR","Interrupted_copulations_nr_OtherS","Interrupted_copulations_nr_PartnerR","Interrupted_copulations_nr_PartnerS","Successful_copulations_nr","Interrupted_total","Female_mount_max_id","Mount_nr","Female_max_crouching_id","Crouching_nr","Copulation_attempt","Copulation_nr","Copulation_occurrence_successful","Copulation_occurrence","Total_successful_copulations","Total_copulation_nr","Total_copulation_occurrence","Total_nr_display_30","Visits_longest_s","Lek_hierarchy","Co.display_total_nr_session","Co.display_total_duration_s_session","Co.display_duration_mean_s_session","Co.display_duration_std_dev_session","Single_display_total_nr_session","Single_display_total_duration_s_session","Single_display_duration_mean_s_session","Single_display_duration_std_dev_session","Single_display_to_female_total_nr_session","Single_display_to_female_total_duration_s_session","Single_display_to_female_duration_mean_s_session","Single_display_to_female_duration_std_dev_session","Single_display_to_satellite_total_nr_session","Single_display_to_satellite_total_duration_s_session","Single_display_to_satellite_duration_mean_s_session","Single_display_to_satellite_duration_std_dev_session","Single_display_to_both_total_nr_session","Single_display_to_both_total_duration_s_session","Single_display_to_both_duration_mean_s_session","Single_display_to_both_duration_std_dev_session","Paired_state_total_nr_session","Paired_state_total_duration_s_session","Paired_state_duration_mean_s_session","Paired_state_duration_std_dev_session","Lek_codisplay_nr","Lek_codisplay_dur_s","Lek_codisplay_occ","Cop_session","Aggression_total","Fight_dur_s","Subject","Behavior"
"1",1,"506_Fm1_a_Marginal","Lek2_2021_506_a","DbLb|LbY","Unpaired","Marginal","black/red face",NA,"Fm1","a",506,1,"3","3_Lek2_3","3_Lek2",0,0,0,0,5,5,1,NA,83.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,27,0,NA,NA
"2",2,"506_Fm1_a_Marginal","Lek2_2021_506_a","GLb|GY","Unpaired","Marginal","brown black",NA,"Fm1","a",506,1,"3","3_Lek2_3","3_Lek2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,3,NA,NA,NA,NA,7,451,64.4,45.91,7,450.791,64.4,45.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,2,0,NA,NA
"3",3,"506_Fm1_a_Marginal","Lek2_2021_506_a","ODb|YG","Unpaired","Marginal","Black/w spots",NA,"Fm1","a",506,1,"3","3_Lek2_3","3_Lek2",0,0,0,0,1,1,1,0,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,2,0,NA,NA
"4",4,"506_Fm1_m_Satellite","Lek1_2021_506_m","DbLb|DbP","Paired","Satellite","black/beige",NA,"Fm1","m",506,1,"3","3_Lek1_3","3_Lek1",1,1,1,5.814,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5.8,1,4,64,16,10.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"5",5,"506_Fm1_m_Satellite","Lek1_2021_506_m","DbLb|DbP","Unpaired","Satellite","black/beige",NA,"Fm1","m",506,1,"3","3_Lek1_3","3_Lek1",0,0,0,0,3,3,1,NA,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,11,7.08,NA,NA
"6",6,"506_Fm1_m_Satellite","Lek1_2021_506_m","GO|LbY","Paired","Satellite","Grey Tiger",NA,"Fm1","m",506,1,"3","3_Lek1_3","3_Lek1",1,7,1,50.441,3,6,1,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,2,15,3,48,779,16,12.69,10,174,13.47,16.93,10,174.496,13.47,16.93,NA,NA,NA,NA,NA,NA,NA,NA,6,1067.605,203.73,62.7,NA,NA,NA,0,NA,NA,NA,NA
"7",7,"506_Fm1_m_Satellite","Lek1_2021_506_m","GO|LbY","Unpaired","Satellite","Grey Tiger",NA,"Fm1","m",506,1,"3","3_Lek1_3","3_Lek1",0,0,0,0,3,3,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,NA,NA,NA,NA,35,640,15.1466666666667,13.01,23,563.358,23.71,22.18,11,59.835,5.39,3.84,1,16.338,16.34,NA,NA,NA,NA,NA,0,0,0,0,24,2.44,NA,NA
"8",8,"506_Fm1_m_Satellite","Lek1_2021_506_m","RG|LbDb","Paired","Satellite","white",NA,"Fm1","m",506,1,"3","3_Lek1_3","3_Lek1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"9",9,"506_Fm1_m_Satellite","Lek1_2021_506_m","RG|LbDb","Unpaired","Satellite","white",NA,"Fm1","m",506,1,"3","3_Lek1_3","3_Lek1",0,0,0,0,1,1,1,0,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,2,0,NA,NA
"10",10,"506_Fm2_a_Satellite","Lek3_2021_506_a","ODb|YDb","Paired","Satellite","Black/gray",NA,"Fm2","a",506,1,"3","3_Lek3_3","3_Lek3",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
